Pop	estimate	statistic	p.value	parameter	conf.low	conf.high	method	alternative	Pop1	mean_diff	iter	m	h2
AFR	0.0241131046748492	2.41177057846359	0.0158931690245581	9998	0.00451516862512413	0.0436925247797233	Pearson's product-moment correlation	two.sided	AFR	3.04984598773622e-15	3	200	0.67
ALL	0.038507985283015	6.67450690309853	2.52383097591006e-11	29998	0.027203899357485	0.0498022238969639	Pearson's product-moment correlation	two.sided	ALL	-2.05699708766154e-15	3	200	0.67
EAS	0.143896364800676	14.5395136113089	2.07054455637478e-47	9998	0.124647848952085	0.163036609801123	Pearson's product-moment correlation	two.sided	EAS	-1.14911888655927e-14	3	200	0.67
EUR	0.19976324308393	20.3852068272968	1.54292619633513e-90	9998	0.180871351989026	0.218507773529482	Pearson's product-moment correlation	two.sided	EUR	2.26300187966479e-15	3	200	0.67
AFR	0.0392504068826484	3.9276748077119	8.63476059180518e-05	9998	0.0196654657341742	0.0588052373851149	Pearson's product-moment correlation	two.sided	AFR	4.79502906564761e-16	6	200	0.67
ALL	0.129963916574332	22.7022039598399	3.83465756038629e-113	29998	0.118822724731035	0.141072386643075	Pearson's product-moment correlation	two.sided	ALL	-1.39265152686828e-15	6	200	0.67
EAS	0.126942520869223	12.7965053701104	3.35600315431352e-37	9998	0.107610193885294	0.146178885773712	Pearson's product-moment correlation	two.sided	EAS	-4.63409752194874e-15	6	200	0.67
EUR	0.363786531602474	39.0506758398063	1.40854861705071e-310	9998	0.346658218410457	0.380672316064317	Pearson's product-moment correlation	two.sided	EUR	-2.2439949204367e-17	6	200	0.67
AFR	0.114693076396196	11.5443420469121	1.23256167006525e-30	9998	0.0953072563750239	0.133991933559917	Pearson's product-moment correlation	two.sided	AFR	-1.52815156497866e-15	12	200	0.67
ALL	0.0518447048071465	8.9915591698951	2.57713266408506e-19	29998	0.0405525557038897	0.0631236121131695	Pearson's product-moment correlation	two.sided	ALL	-1.50544197401637e-16	12	200	0.67
EAS	0.0346213485571317	3.46386520721329	0.000534704654907545	9998	0.0150314786286291	0.0541846498931904	Pearson's product-moment correlation	two.sided	EAS	-1.41671133578234e-16	12	200	0.67
EUR	0.0803133511598188	8.05655731912881	8.74322722896422e-16	9998	0.0608090034866404	0.0997563899096289	Pearson's product-moment correlation	two.sided	EUR	1.20354304254384e-15	12	200	0.67
